Customer Name,Industry,Location,Partners,Author Name,Author Designation,Story Link
Beyond Bank,Financial services,Australia,QPC,Brent Alexander,"National Manager, Customer Relationship Center, Beyond Bank",https://www.genesys.com/customer-stories/beyond-bank/
Aeromexico,Airline,Mexico,"Salesforce, Pureinsights, Kranon",Angelina Griselda Stankiewicz Chávez,"Senior Contact Center Manager, Aeromexico",https://www.genesys.com/customer-stories/aeromexico/
Anglicare Sydney,Non-profit,Australia,"QPC, Call Journey",Roy Hazelwood,"Contact Center Manager, Anglicare Sydney",https://www.genesys.com/customer-stories/anglicare-sydney/
Virgin Atlantic,Airline,UK with global operations,,Louise Phillips,"VP Customer Centers, Virgin Atlantic",https://www.genesys.com/customer-stories/virgin-atlantic/
Security Bank,Financial,Philippines,,Lucose Eralil,Head of Enterprise Technology and Operations,https://www.genesys.com/customer-stories/security-bank/
Robinhood,Food delivery,Thailand,,Preeyapat Rujum,"Head of Customer Fulfillment, Purple Ventures Limited",https://www.genesys.com/customer-stories/robinhood/
Maximus,Business process outsourcer,US with global operations,Amazon Web Services,Angela Kovach,"Vice President of Cloud Technology, Maximus",https://www.genesys.com/customer-stories/maximus/
Maxicare,Healthcare,Philippines,,Christian Argos,"CEO, Maxicare",https://www.genesys.com/customer-stories/maxicare/
Northumbrian Water,Utilities,UK,Connect,David Halliday,"IS Product Manager, Northumbrian Water Limited",https://www.genesys.com/customer-stories/northumbrian-water/
Electrolux Group,Manufacturing and retail,Sweden and global,Google Cloud,Mateusz Jazdzewski,"Head of IT Consumer Solutions and Head of CX Product at Electrolux Group, Electrolux Group",https://www.genesys.com/customer-stories/electrolux-group/
Bpha,Housing provider and developer,UK,Email Wizard,Lianne Martindale,"Communications Center Manager, BPHA",https://www.genesys.com/customer-stories/bpha/
Eesti Energia,Energy,"Estonia, Latvia, Lithuania, Poland and Finland",Adventus Solutions,Kaido Kabral,"Customer Service Solution Expert, Eesti Energia",https://www.genesys.com/customer-stories/eesti-energia/
Adapthealth,Healthcare,US,,Bill Lewis,"Senior Director, Infrastructure and Security Engineering, AdaptHealth",https://www.genesys.com/customer-stories/adapthealth/
Etraveli,Travel and tourism,Sweden,"GlobalConnect, Amelia, Scorebuddy, Shelf",Gurpreet Sawhney,"WFM Director, Etraveli Group",https://www.genesys.com/customer-stories/etraveli/
National Domestic Violence Hotline,Nonprofit,US,"AWS, PureInsights",Marty Hand,"CTO, The Hotline",https://www.genesys.com/customer-stories/national-domestic-violence-hotline/
Bo Service,Housing,Germany,Deliberate,Christoph Otto,"Head of IT Infrastructure and Service, B&O Service",https://www.genesys.com/customer-stories/bo-service/
Unisys,IT services,US,"Microsoft, Google Cloud, ServiceNow",Aron Meyer,"Solution Architect, Digital Workplace Solutions, Unisys",https://www.genesys.com/customer-stories/unisys/
Missouri Department Of Social Services,Government,US,Google Cloud,Nichole Conway,"Program Manager, Missouri Department of Social Services",https://www.genesys.com/customer-stories/missouri-department-of-social-services/
Somerset Council,Local government,UK,"Kerv, Amazon Web Services",Sharon Passmore,"Service Manager, Customer Services, Somerset Council",https://www.genesys.com/customer-stories/somerset-council/
Bankaya,Financial services,Mexico,Crossnet,Adrian Soria,"Collections Manager, Bankaya",https://www.genesys.com/customer-stories/bankaya/
Schneider Electric,Energy,France and more than 100 countries globally,,Irina Zubova,"Vice President, Digital Sales and Customer Support Enablement, Schneider Electric",https://www.genesys.com/customer-stories/schneider-electric/
Gsg,Graphics equipment and consumables,US,Mediu,Lauren Forte,"Director of Inside Sales, Graphic Solutions Group",https://www.genesys.com/customer-stories/gsg/
Qbe,Insurance,Australia and global,Daisee,Scott Paterson,"Global Unified Comms and Collaborating Manager, QBE",https://www.genesys.com/customer-stories/qbe/
Alight Solutions,IT services,US,,Robin Vallango,"Vice President, Customer Care Technology, Alight Solutions",https://www.genesys.com/customer-stories/alight-solutions/
Lighthouse Works,Business process outsourcing,US,,Kyle Johnson,"President and Chief Executive Officer, Lighthouse Works",https://www.genesys.com/customer-stories/lighthouse-works/
Nuuday,Telco/IT service provider,Denmark,Netdesign,Michael Stinner,"Head of CX Operations, Nuuday",https://www.genesys.com/customer-stories/nuuday/
The University Of Texas Rio Grande Valley,Higher education,US,,Dr. Vanessa Maldonado,"Director of Student Service Centers, UTRGV",https://www.genesys.com/customer-stories/the-university-of-texas-rio-grande-valley/
Stanley Steemer,Cleaning services,US,,John Parente,"Director of Contact Center Operations, Stanley Steemer",https://www.genesys.com/customer-stories/stanley-steemer/
Techstyleos,Retail,US and global,Amazon Web Services,Jack Roberts,"Director, GMS Technology and Applications , TechStyleOS",https://www.genesys.com/customer-stories/techstyleos/
Bancoestado,Financial services,Chile,,Luis Chávez Tuesta,"Head of Software and Product Development, BancoEstado",https://www.genesys.com/customer-stories/bancoestado/
Sage France,Business software,France with global operations,"eMite, Microsoft",Fabien Borras,"Director Customer Operations, Tools, Data and Service, Sage France",https://www.genesys.com/customer-stories/sage-france/
Coca Cola Bottlers Sales And Services,Beverage manufacturer/retailer,US,"Help Lightning, Mindful Feedback, PCI Pal, Salesforce",Nicole Thomas,"VP, Customer Care Center, Coca-Cola Bottlers’ Sales and Services",https://www.genesys.com/customer-stories/coca-cola-bottlers-sales-and-services/
Pluxee,Human resources,France with global operations,,Thibault Guerard,"VP of Customer Experience and Care, Pluxee",https://www.genesys.com/customer-stories/pluxee/
Cathay Pacific,Travel and aviation,Hong Kong,"Accenture, Google Cloud",Kenneth Lee,"General Manager, IT Solutions, Cathay Pacific",https://www.genesys.com/customer-stories/cathay-pacific/
Humm Group,Fintech,Australasia,Datacom,Andrew Murrell,"Chief Operations Officer, Humm Group",https://www.genesys.com/customer-stories/humm-group/
Sv Gruppe,Media and digital services,Germany,infinit.cx,Manuela Lüdke,"Managing Director, SV Dialog GmbH & Co. KG",https://www.genesys.com/customer-stories/sv-gruppe/
Blibli,eCommerce,Indonesia,,Shanty Cantya,"Vice President of Customer Management, Blibli",https://www.genesys.com/customer-stories/blibli/
Farmers Mutual Group,Insurance,New Zealand,"Avtex, Microsoft",Matt Harvey,"Head of National Advice and Service Center, FMG",https://www.genesys.com/customer-stories/farmers-mutual-group/
Rabobank,Financial services,The Netherlands with global operations,"24sessions, Microsoft",Thom Kokhuis,"Head of Conversational Banking, Rabobank",https://www.genesys.com/customer-stories/rabobank/
Spark,Telecommunications,New Zealand,,James Palmer-Dale,"Chapter Lead of Customer Engagement Solutions, Spark",https://www.genesys.com/customer-stories/spark/
Bitkub Exchange,Blockchain and cryptocurrency,Thailand,,Chantika Chomchome,"Deputy CEO and Chief People Officer, Bitkub Exchange",https://www.genesys.com/customer-stories/bitkub-exchange/
Independent Health,Healthcare,US,Call Journey,Amanda Prell,"Director, Contact Center Experience, Independent Health",https://www.genesys.com/customer-stories/independent-health/
Dkv,Transportation,Germany,VR Voice GmbH,Robert Trojan,"Team Manager Workplace and Network Services, DKV Euro Service",https://www.genesys.com/customer-stories/dkv/
Helpline,IT services,France,,Lionel Florence,"Director Users Digital Journeys, HELPLINE",https://www.genesys.com/customer-stories/helpline/
Xiaomi Corporation,Consumer electronics and hardware,China,,Wang Chuanpeng,"International Services Product Director, Xiaomi Corporation",https://www.genesys.com/customer-stories/xiaomi-corporation/
Edenred Brazil,Payment services,Brazil,"Alctel, IBM",Jéssica Mallach,"Continual Improvement Coordinator, Ticket Log",https://www.genesys.com/customer-stories/edenred-brazil/
Uplift,Travel fintech,US,InflowCX,Chrissy Vining,"Director of Customer Success, Uplift",https://www.genesys.com/customer-stories/uplift/
Heineken Mexico,Food and Beverage,Mexico,"Sixbell, Tethr It Now",Edgar Muñoz Hernández,"Head of Analytics and Support, Heineken Mexico",https://www.genesys.com/customer-stories/heineken-mexico/
Metergy,Utilities,Canada,,Maudrie Smith,"Director of Customer Care Operations, Metergy Solutions",https://www.genesys.com/customer-stories/metergy/
O2e Brands,Home services,Canada,,Michael Downing,"Vice President, Business Operations, O2E Brands",https://www.genesys.com/customer-stories/o2e-brands/
Tokopedia,Ecommerce,Indonesia,,Rudy Dalimunthe,"Senior Vice President of Customer Excellence, Tokopedia",https://www.genesys.com/customer-stories/tokopedia/
Service Nsw,Government,Australia,,Sue Ferguson,"Director of Contact Centers, Service NSW",https://www.genesys.com/customer-stories/service-nsw/
Grupo Vanti,Energy,Colombia,"Google Cloud, Global Network Solutions",Rolando Bermúdez,"Manager of Implementation and Customer Support, Grupo Vanti",https://www.genesys.com/customer-stories/grupo-vanti/
Dolfi1920,Aviation,Poland,,Tal Fridman,"Operations and Business Development Director Europe, Dolfi1920",https://www.genesys.com/customer-stories/dolfi1920/
Utility Warehouse,Home services and utilities,UK,,Samit Patel,"Head of Portfolio, Utility Warehouse",https://www.genesys.com/customer-stories/utility-warehouse/
Aeroporti Di Roma,Travel,Italy,ComApp,Marco Dottore,"Head of Network and Infrastructure Project Management, Aeroporti di Roma",https://www.genesys.com/customer-stories/aeroporti-di-roma/
Acea,Utilities,Italy,,Ivan Vigolo,"Group Chief Innovation & Information Officer, ACEA",https://www.genesys.com/customer-stories/acea/
Betflag,Online gambling,Italy,TechneValue,Domenico Galizia,"CEO, BetFlag",https://www.genesys.com/customer-stories/betflag/
Sicredi,Financial services,Brazil,Mutant,Camilo Calligaro,"Telecommunication Services Analyst, Sicredi",https://www.genesys.com/customer-stories/sicredi/
Probe Group,Business process outsourcing,"Australia, New Zealand and the Philippines",,Rohan Khanna,"CTO, Probe Group",https://www.genesys.com/customer-stories/probe-group/
Cargarantie,Insurance broker and service provider,France,Deliberate,Christoph Schuler,"Head of Operations, CarGarantie Courtage SARL",https://www.genesys.com/customer-stories/cargarantie/
Woolworths Finance Shared Services,Financial Services,Australia,,Robert Fellowes,"Customer Focused Transactions Services Lead, Woolworths",https://www.genesys.com/customer-stories/woolworths-finance-shared-services/
Xerox,Workplace technology,US,,Naresh Shanker,"CTO, Xerox",https://www.genesys.com/customer-stories/xerox/
Localsearch,Digital marketing,Australia,,Gary Mandelkow,"Chief Technology Officer, Localsearch",https://www.genesys.com/customer-stories/localsearch/
Twiddy Company,Property rental,United States,,Blake Stockslager,"CIO, Twiddy & Company",https://www.genesys.com/customer-stories/twiddy-company/
Digicall Assist,Automotive,Australia,Synergy Enterprise Solutions,Rebecca Goss,"Contact Center Operations Manager, Digicall Assist",https://www.genesys.com/customer-stories/digicall-assist/
Countdown New Zealand,Retail,New Zealand,,Steve James,"Head of Technology, Countdown New Zealand",https://www.genesys.com/customer-stories/countdown-new-zealand/
Fct,Real estate tech and title insurance,Canada,,Pat Smolak,"Director Operations, Residential Solutions, FCT",https://www.genesys.com/customer-stories/fct/
Siemens Healthineers,Healthcare and life sciences,Germany with global operations,Cognizant,Jochen Hostalka,"Senior Vice President IT, Siemens Healthineers",https://www.genesys.com/customer-stories/siemens-healthineers/
Co Op Group,Retail,United Kingdom,IPI,Claire Carroll,"Head of Sales and Service, Co-op Group",https://www.genesys.com/customer-stories/co-op-group/
Multilaser,Manufacturing and retail,Brazil,Survey Dynamix,Leonardo Castilho,"Head eCommerce, After-sales and Digital Marketing, Multilaser",https://www.genesys.com/customer-stories/multilaser/
Nexon Asia Pacific,IT and services,Australia,,Malcolm Green,"Senior Contact Center Engineer, Nexon",https://www.genesys.com/customer-stories/nexon-asia-pacific/
Atomy,Retail,South Korea,,SungHoon Choi,"IT Manager , Atomy",https://www.genesys.com/customer-stories/atomy/
Cartrawler,Travel,Ireland,DigitalWell,James Waghorn,"Director, Customer Contact, CarTrawler",https://www.genesys.com/customer-stories/cartrawler/
Arvato,Customer Services and Business Process Outsourcing,UK,Kerv,Gordon Dalgleish,"Head of IT Solutions, Arvato CRM Solutions",https://www.genesys.com/customer-stories/arvato/
Seyco,Financial,Chile,eContact,Mauricio Reyes Figueroa,"Digital Development and Data Strategy Manager, Seyco",https://www.genesys.com/customer-stories/seyco/
Inter,Financial Services,Brazil,,João Marcus Santos,"IT Manager, Inter",https://www.genesys.com/customer-stories/inter/
3 Denmark,Telecommunications,Denmark,Advania,Jonas Kristensen,"Business Optimisation Manager, 3 Denmark",https://www.genesys.com/customer-stories/3-denmark/
Aioi Nissay Dowa Insurance,Insurance,Australia,"Telstra, CVT",Sheridan Francis,"Manager, Regional Operations Center, Aioi Nissay Dowa Insurance Company Australia",https://www.genesys.com/customer-stories/aioi-nissay-dowa-insurance/
Patlive,Business process outsourcing,US,,Jackie Gonzalez,"Vice President, Operations, PATLive",https://www.genesys.com/customer-stories/patlive/
Tokio Marine Management Australasia,Travel insurance,Australia,,Aaron Roche,"Travel Manager, Operations, Tokio Marine Management Australasia",https://www.genesys.com/customer-stories/tokio-marine-management-australasia/
Conrad Electronic,Electronics and technology retailer,Germany,NTT,Günther Oberhofer,"Director IT Communication and Networks, Conrad Electronic",https://www.genesys.com/customer-stories/conrad-electronic/
Brighton And Hove Albion Football Club,Sports and entertainment,UK,Kerv,Brian Kearney,"Digital Systems Project Manager, Brighton & Hove Albion Football Club",https://www.genesys.com/customer-stories/brighton-and-hove-albion-football-club/
Banco Solidario,Financial services,Ecuador,"Seteinfo, Aivo (AgentBot)",Damián Cruz,"Digital Channel Consultant, Banco Solidario",https://www.genesys.com/customer-stories/banco-solidario/
Universal Assistance,Traveler assistance services,Latin America,In Motion,Raffaele Loiacono,"Latin America CIO, Universal Assistance",https://www.genesys.com/customer-stories/universal-assistance/
Carestream Dental,Healthcare,US,eMite,Brian Harris,"Director, Americas Remote Support, Carestream Dental",https://www.genesys.com/customer-stories/carestream-dental/
Dental Axess,Healthcare,"Switzerland, with global operations",TechneValue,Patricia Zoller,"Marketing Manager, Dental Axess",https://www.genesys.com/customer-stories/dental-axess/
Ilumno,Education,Colombia,CrossNet,Jaume Cascales Muñoz,"Director of IT Operations, Ilumno",https://www.genesys.com/customer-stories/ilumno/
Paul Hartmann,International manufacturer of medical and hygiene products,"Heidenheim an der Brenz, Swabia, Germany",Deliberate,Project Manager,Paul Hartmann AG,https://www.genesys.com/customer-stories/paul-hartmann/
American Heart Association,Nonprofit,U.S.,,Chip Sugrue,"VP Customer Strategies, American Heart Association",https://www.genesys.com/customer-stories/american-heart-association/
Deutsche Glasfaser,Telecommunications,"Borken, Germany",,Peter Basse,"Head of Workforce Management, Deutsche Glasfaser Wholesale GmbH",https://www.genesys.com/customer-stories/deutsche-glasfaser/
Field Management Ireland,Business process outsourcer,Ireland,,Rosemary Wynne,"Digital Marketing Director, Field Management Ireland",https://www.genesys.com/customer-stories/field-management-ireland/
Telefoonaanname Nl,Business process outsourcing,Netherlands,,Edwin Smit,"Co-founder and Owner, Telefoonaanname.nl",https://www.genesys.com/customer-stories/telefoonaanname-nl/
Firstcare,Human Resource management,UK,,John Coyne,"Head of IT, Data and Compliance, FirstCare",https://www.genesys.com/customer-stories/firstcare/
Pihlajalinna,Healthcare services,Finland,,Sanna Sarvijärvi,"Service Director, Pihlajalinna",https://www.genesys.com/customer-stories/pihlajalinna/
Bolsa De Valores De Colombia,Financial,Colombia,,Diego Galindo Hernández,"Director of Customer Service, bvc",https://www.genesys.com/customer-stories/bolsa-de-valores-de-colombia/
Legrand,Industrial,"France, with global operations",,David Gonzalez,"Customer Relations Center Manager, Legrand France",https://www.genesys.com/customer-stories/legrand/
Round Room,Retail,US,,Ryan Ervin,"Senior Director, Customers for Life, TCC Round Room",https://www.genesys.com/customer-stories/round-room/
Conte It,Insurance,Italy,,Francesco Del Gallo,"Product Manager, ConTe.it",https://www.genesys.com/customer-stories/conte-it/
Cegid,SaaS solutions,"France, with global operations",,Thierry Galvagni,"CIO, Cegid",https://www.genesys.com/customer-stories/cegid/
Edenred,Prepaid services,Mexico,,Aurelie Bagard,"Director of Distant Sales, Edenred Mexico",https://www.genesys.com/customer-stories/edenred/
Unitec,Education,Mexico,,Leandro Cruz Hernández,"Digital Director and Customer Experience, UNITEC",https://www.genesys.com/customer-stories/unitec/
Carglass,Vehicle glass repair and replacement,Germany,,Brice-Willys Tebiro,"Innovation and Improvement Manager, Carglass Germany",https://www.genesys.com/customer-stories/carglass/
Tsb Bank,Financial services,New Zealand,,Lisa Macnee,"Head of Digital and Customer Engagement Center, TSB Bank Ltd",https://www.genesys.com/customer-stories/tsb-bank/
Fonterra,Dairy processing and nutrition,New Zealand and global,Pyrios,Melanie Tuck,"Manager, Farm Source Service Center, Fonterra",https://www.genesys.com/customer-stories/fonterra/
Bis Contact Center,Business Process Outsourcing (BPO),"Cartagena, Colombian Caribbean",Global Networks Solutions S.A.,Mauricio Camona,CEO and Founder,https://www.genesys.com/customer-stories/bis-contact-center/
Eco24,Debt consulting,Germany,Deliberate,Hans-Jörg Fadda,"Managing Director, eco24",https://www.genesys.com/customer-stories/eco24/
Sita,Air transportation,Global,,Vichaig Douangpaseuth,"Senior Manager, Service Improvement SDN Network and Voice Practice, SITA",https://www.genesys.com/customer-stories/sita/
Jpimedia,Marketing and advertising,UK,Kerv,Rebekah Avill,"Head of Commercial Systems, JPIMedia",https://www.genesys.com/customer-stories/jpimedia/
Callpageboy,Business process outsourcer,Ireland,,Ken Colley,"Managing Director, CallPageboy",https://www.genesys.com/customer-stories/callpageboy/
Western Governors University,Education,US,,Adam Davis,"Vice President of Operations, Western Governors University",https://www.genesys.com/customer-stories/western-governors-university/
Ethiopian Airlines,Aviation and travel,Ethiopia,,Getinet Tadesse,"CIO, Ethiopian Airlines",https://www.genesys.com/customer-stories/ethiopian-airlines/
Lyreco Group,Retail,"France, with global operations",,Nelson Oliveira,"Product Owner, Customer Care, Lyreco",https://www.genesys.com/customer-stories/lyreco-group/
Housing Direct,Local government,Australia,Datacom,Tracy Thompson,"Manager, Housing Direct",https://www.genesys.com/customer-stories/housing-direct/
Feros Care,Healthcare,Australia,,Melissa Simpson,Chief Customer Officer,https://www.genesys.com/customer-stories/feros-care/
Ignite Travel Group,Travel,"Gold Coast, Australia",Flight Centre Travel Group,Conrad Dickson,General Manager - ICT,https://www.genesys.com/customer-stories/ignite-travel-group/
Gaitame Com,Finance,,Gaitame.com,Yasutaka Nakane,Customer Support Office - Senior Vice President,https://www.genesys.com/customer-stories/gaitame-com/
Fremtind Service,Government (Transportation),Norway,,Richard Vogt,"Operations Manager, Fremtind Service",https://www.genesys.com/customer-stories/fremtind-service/
Tot Public Company Limited,Telecommunications,Thailand,,,,https://www.genesys.com/customer-stories/tot-public-company-limited/
Leroy Merlin,Retail,Europe,Bizmatica,Edoardo Messinese,"IT Manager, Sales and Marketing, Leroy Merlin",https://www.genesys.com/customer-stories/leroy-merlin/
Bbva Argentina,Banking,Argentina,Genesys,Luis Vertone,Senior Project Development Manager,https://www.genesys.com/customer-stories/bbva-argentina/
Quinstreet,Cloud technology,,QuinStreet,,,https://www.genesys.com/customer-stories/quinstreet/
Mybudget,Financial Services,Australia and other parts of the world,MyBudget,Steven Bailey,Chief Client Officer,https://www.genesys.com/customer-stories/mybudget/
Kiwi Com,Travel,"Brno, Czech Republic",Kerv,Oliver Dlouhý and Jozef Képesi,Founders,https://www.genesys.com/customer-stories/kiwi-com/
Nahdi Medical Company,Healthcare,Saudi Arabia,,Ahmed Salem Bamohrez,IT Operations Manager,https://www.genesys.com/customer-stories/nahdi-medical-company/
Sureway,Education,Australia,,Jacqui Fox,Project Leader,https://www.genesys.com/customer-stories/sureway/
Dutch Lottery,Customer Experience Solutions,,,,,https://www.genesys.com/customer-stories/dutch-lottery/
Company Nurse,Healthcare,US,Brightmetrics,Henry Svendblad,"CTO, Company Nurse",https://www.genesys.com/customer-stories/company-nurse/
Lowell Norway,Financial services,Norway,Advania,Carl-Petter Udvang,"Product Manager, Lowell Norway",https://www.genesys.com/customer-stories/lowell-norway/
Westpac,Financial services,New Zealand,,Jason Lock,"Head of Contact Centers, Westpac NZ",https://www.genesys.com/customer-stories/westpac/
Actavo,Contact Center Software,Glasgow,Actavo,Alexander Barr,Customer Services Director,https://www.genesys.com/customer-stories/actavo/
Efinancial,Insurance,U.S.,,Paul Bourdeaux,"Chief Information Officer, Vericity (Fidelity Life Association and eFinancial)",https://www.genesys.com/customer-stories/efinancial/
Quicken,Financial services,United States,,Ian Roberts,"Operations Leader, Quicken",https://www.genesys.com/customer-stories/quicken/
Vivonet,"Hospitality, Restaurant, Food Services",,,Shafique Adatia,"Vivonet Team Lead, System Administrator",https://www.genesys.com/customer-stories/vivonet/
Diabetes Victoria,Healthcare,"Campbellfield, Melbourne",QPC,Lalith Abeysena,Chief Operating Officer,https://www.genesys.com/customer-stories/diabetes-victoria/
Al Romansiah,Food & Beverage,,,Al Romansiah,Head of IT,https://www.genesys.com/customer-stories/al-romansiah/
Rapid Financial Solutions,Financial Services,,,Daren Jackson,CEO,https://www.genesys.com/customer-stories/rapid-financial-solutions/
Rose Hulman Institute Of Technology Askrose Homework Help,Education,,,Lindsay Hull,AskRose Associate Director for Operations and Education,https://www.genesys.com/customer-stories/rose-hulman-institute-of-technology-askrose-homework-help/
Optimind Winter,Cloud,,,Thibaud Hagerm,Director of Employee Benefits,https://www.genesys.com/customer-stories/optimind-winter/
Lolivier,Cloud,,,Mariama Guiro,Head of Project Customer Service,https://www.genesys.com/customer-stories/lolivier/
